Level,Workout_Type,Duration_Min,Calories_Burned,Food_Item,Calories,Protein_g,Carbs_g,Fats_g,Goal,Meal,Workout_Duration_Min,Workout_Calories,Food_Calories,Net_Calories
Intermediate,Cardio,,350.0,,,,,,,,32.0,,,
Advanced,Cardio,,276.0,,,,,,,,42.0,,,
Advanced,Yoga,,406.0,,,,,,,,20.0,,,
Intermediate,Strength,,696.0,,,,,,,,73.0,,,
Advanced,Strength,,343.0,,,,,,,,34.0,,,
Beginner,Yoga,,253.0,,,,,,,,84.0,,,
Intermediate,HIIT,,684.0,,,,,,,,34.0,,,
Beginner,Cardio,,414.0,,,,,,,,40.0,,,
Beginner,Yoga,,533.0,,,,,,,,38.0,,,
Intermediate,Cardio,,409.0,,,,,,,,79.0,,,
Advanced,HIIT,,563.0,,,,,,,,52.0,,,
Beginner,Cardio,,507.0,,,,,,,,68.0,,,
Intermediate,Yoga,,224.0,,,,,,,,54.0,,,
Beginner,Cardio,,504.0,,,,,,,,63.0,,,
Beginner,Strength,,733.0,,,,,,,,30.0,,,
Beginner,HIIT,,337.0,,,,,,,,85.0,,,
Beginner,HIIT,,439.0,,,,,,,,65.0,,,
Advanced,HIIT,,194.0,,,,,,,,28.0,,,
Beginner,Yoga,,722.0,,,,,,,,22.0,,,
Beginner,HIIT,,232.0,,,,,,,,45.0,,,
Beginner,Strength,,272.0,,,,,,,,67.0,,,
Advanced,Yoga,,507.0,,,,,,,,85.0,,,
Beginner,Strength,,677.0,,,,,,,,89.0,,,
Beginner,Cardio,,215.0,,,,,,,,47.0,,,
Advanced,Cardio,,524.0,,,,,,,,45.0,,,
Advanced,Cardio,,311.0,,,,,,,,44.0,,,
Advanced,Cardio,,529.0,,,,,,,,31.0,,,
Beginner,Strength,,507.0,,,,,,,,24.0,,,
Advanced,Yoga,,337.0,,,,,,,,67.0,,,
Advanced,Yoga,,471.0,,,,,,,,56.0,,,
Beginner,HIIT,,599.0,,,,,,,,63.0,,,
Advanced,Strength,,623.0,,,,,,,,34.0,,,
Beginner,Cardio,,162.0,,,,,,,,62.0,,,
Intermediate,Strength,,333.0,,,,,,,,67.0,,,
Advanced,HIIT,,260.0,,,,,,,,89.0,,,
Intermediate,HIIT,,657.0,,,,,,,,65.0,,,
Beginner,Strength,,439.0,,,,,,,,62.0,,,
Advanced,Strength,,444.0,,,,,,,,40.0,,,
Beginner,Strength,,600.0,,,,,,,,42.0,,,
Intermediate,Yoga,,364.0,,,,,,,,66.0,,,
Beginner,Cardio,,781.0,,,,,,,,34.0,,,
Advanced,Strength,,716.0,,,,,,,,44.0,,,
Advanced,Strength,,176.0,,,,,,,,55.0,,,
Intermediate,Strength,,779.0,,,,,,,,70.0,,,
Beginner,HIIT,,380.0,,,,,,,,34.0,,,
Advanced,HIIT,,714.0,,,,,,,,87.0,,,
Intermediate,Yoga,,470.0,,,,,,,,40.0,,,
Advanced,Cardio,,382.0,,,,,,,,32.0,,,
Advanced,Yoga,,586.0,,,,,,,,38.0,,,
Beginner,Cardio,,682.0,,,,,,,,53.0,,,
Advanced,HIIT,,552.0,,,,,,,,87.0,,,
Beginner,HIIT,,202.0,,,,,,,,71.0,,,
Advanced,HIIT,,462.0,,,,,,,,46.0,,,
Intermediate,Yoga,,430.0,,,,,,,,48.0,,,
Advanced,Strength,,180.0,,,,,,,,47.0,,,
Beginner,Strength,,486.0,,,,,,,,54.0,,,
Beginner,HIIT,,332.0,,,,,,,,27.0,,,
Intermediate,Strength,,172.0,,,,,,,,35.0,,,
Advanced,Strength,,693.0,,,,,,,,55.0,,,
Advanced,Yoga,,595.0,,,,,,,,49.0,,,
Intermediate,Cardio,,223.0,,,,,,,,37.0,,,
Advanced,HIIT,,159.0,,,,,,,,21.0,,,
Advanced,HIIT,,633.0,,,,,,,,68.0,,,
Beginner,Yoga,,605.0,,,,,,,,23.0,,,
Advanced,Yoga,,715.0,,,,,,,,26.0,,,
Advanced,Strength,,713.0,,,,,,,,58.0,,,
Intermediate,HIIT,,309.0,,,,,,,,32.0,,,
Intermediate,Cardio,,163.0,,,,,,,,50.0,,,
Beginner,Yoga,,327.0,,,,,,,,82.0,,,
Advanced,Cardio,,561.0,,,,,,,,75.0,,,
Advanced,Cardio,,202.0,,,,,,,,61.0,,,
Advanced,HIIT,,557.0,,,,,,,,80.0,,,
Beginner,HIIT,,171.0,,,,,,,,61.0,,,
Beginner,Yoga,,179.0,,,,,,,,75.0,,,
Intermediate,HIIT,,409.0,,,,,,,,55.0,,,
Beginner,HIIT,,354.0,,,,,,,,87.0,,,
Advanced,HIIT,,208.0,,,,,,,,26.0,,,
Advanced,Cardio,,620.0,,,,,,,,73.0,,,
Beginner,Yoga,,615.0,,,,,,,,20.0,,,
Advanced,Strength,,161.0,,,,,,,,63.0,,,
Advanced,Cardio,,780.0,,,,,,,,64.0,,,
Beginner,HIIT,,439.0,,,,,,,,66.0,,,
Beginner,Cardio,,503.0,,,,,,,,32.0,,,
Advanced,HIIT,,788.0,,,,,,,,41.0,,,
Advanced,HIIT,,224.0,,,,,,,,40.0,,,
Advanced,Cardio,,710.0,,,,,,,,28.0,,,
Intermediate,Yoga,,740.0,,,,,,,,45.0,,,
Intermediate,HIIT,,590.0,,,,,,,,28.0,,,
Intermediate,Yoga,,390.0,,,,,,,,34.0,,,
Beginner,Strength,,303.0,,,,,,,,29.0,,,
Intermediate,HIIT,,245.0,,,,,,,,61.0,,,
Beginner,Yoga,,443.0,,,,,,,,43.0,,,
Beginner,Yoga,,358.0,,,,,,,,68.0,,,
Intermediate,Strength,,492.0,,,,,,,,45.0,,,
Intermediate,Yoga,,237.0,,,,,,,,56.0,,,
Intermediate,Yoga,,539.0,,,,,,,,87.0,,,
Advanced,Strength,,474.0,,,,,,,,69.0,,,
Intermediate,HIIT,,306.0,,,,,,,,43.0,,,
Advanced,Yoga,,782.0,,,,,,,,38.0,,,
Beginner,Yoga,,726.0,,,,,,,,79.0,,,
Advanced,Yoga,,768.0,,,,,,,,58.0,,,
Intermediate,Cardio,,286.0,,,,,,,,37.0,,,
Beginner,Strength,,577.0,,,,,,,,38.0,,,
Beginner,Cardio,,601.0,,,,,,,,55.0,,,
Beginner,Strength,,761.0,,,,,,,,74.0,,,
Advanced,HIIT,,290.0,,,,,,,,88.0,,,
Intermediate,HIIT,,232.0,,,,,,,,66.0,,,
Beginner,Yoga,,326.0,,,,,,,,68.0,,,
Beginner,Strength,,347.0,,,,,,,,52.0,,,
Beginner,HIIT,,773.0,,,,,,,,40.0,,,
Advanced,Strength,,717.0,,,,,,,,41.0,,,
Advanced,HIIT,,570.0,,,,,,,,67.0,,,
Intermediate,Cardio,,550.0,,,,,,,,56.0,,,
Advanced,HIIT,,620.0,,,,,,,,34.0,,,
Beginner,Cardio,,367.0,,,,,,,,54.0,,,
Intermediate,HIIT,,781.0,,,,,,,,51.0,,,
Beginner,Yoga,,324.0,,,,,,,,30.0,,,
Beginner,Cardio,,172.0,,,,,,,,29.0,,,
Advanced,HIIT,,384.0,,,,,,,,76.0,,,
Intermediate,Yoga,,162.0,,,,,,,,44.0,,,
Advanced,Cardio,,250.0,,,,,,,,21.0,,,
Advanced,Yoga,,685.0,,,,,,,,83.0,,,
Intermediate,Strength,,672.0,,,,,,,,54.0,,,
Beginner,Strength,,601.0,,,,,,,,26.0,,,
Beginner,Cardio,,580.0,,,,,,,,37.0,,,
Intermediate,HIIT,,755.0,,,,,,,,86.0,,,
Beginner,Cardio,,682.0,,,,,,,,61.0,,,
Intermediate,Yoga,,442.0,,,,,,,,58.0,,,
Intermediate,HIIT,,250.0,,,,,,,,60.0,,,
Advanced,Strength,,651.0,,,,,,,,43.0,,,
Intermediate,HIIT,,453.0,,,,,,,,79.0,,,
Advanced,Strength,,689.0,,,,,,,,65.0,,,
Beginner,HIIT,,702.0,,,,,,,,38.0,,,
Beginner,HIIT,,504.0,,,,,,,,87.0,,,
Beginner,HIIT,,452.0,,,,,,,,61.0,,,
Beginner,Yoga,,645.0,,,,,,,,51.0,,,
Advanced,Yoga,,376.0,,,,,,,,58.0,,,
Beginner,Cardio,,385.0,,,,,,,,55.0,,,
Intermediate,Cardio,,604.0,,,,,,,,55.0,,,
Intermediate,Strength,,162.0,,,,,,,,22.0,,,
Intermediate,Yoga,,359.0,,,,,,,,27.0,,,
Advanced,Strength,,546.0,,,,,,,,89.0,,,
Beginner,Cardio,,249.0,,,,,,,,60.0,,,
Beginner,Strength,,180.0,,,,,,,,87.0,,,
Beginner,Cardio,,677.0,,,,,,,,32.0,,,
Advanced,Yoga,,798.0,,,,,,,,68.0,,,
Intermediate,HIIT,,478.0,,,,,,,,79.0,,,
Intermediate,Yoga,,315.0,,,,,,,,21.0,,,
Beginner,Strength,,608.0,,,,,,,,79.0,,,
Intermediate,Strength,,249.0,,,,,,,,24.0,,,
Intermediate,Yoga,,770.0,,,,,,,,63.0,,,
Advanced,Yoga,,322.0,,,,,,,,46.0,,,
Advanced,Cardio,,311.0,,,,,,,,51.0,,,
Advanced,Strength,,412.0,,,,,,,,40.0,,,
Advanced,Strength,,423.0,,,,,,,,27.0,,,
Beginner,Yoga,,152.0,,,,,,,,69.0,,,
Advanced,HIIT,,177.0,,,,,,,,86.0,,,
Intermediate,Strength,,475.0,,,,,,,,63.0,,,
Beginner,HIIT,,298.0,,,,,,,,77.0,,,
Intermediate,Yoga,,689.0,,,,,,,,22.0,,,
Intermediate,Yoga,,637.0,,,,,,,,89.0,,,
Intermediate,Cardio,,587.0,,,,,,,,21.0,,,
Advanced,Strength,,214.0,,,,,,,,63.0,,,
Advanced,HIIT,,505.0,,,,,,,,21.0,,,
Beginner,Cardio,,682.0,,,,,,,,54.0,,,
Beginner,Strength,,401.0,,,,,,,,49.0,,,
Advanced,Cardio,,384.0,,,,,,,,27.0,,,
Intermediate,Yoga,,376.0,,,,,,,,41.0,,,
Beginner,Strength,,674.0,,,,,,,,63.0,,,
Advanced,Cardio,,462.0,,,,,,,,77.0,,,
Advanced,Cardio,,198.0,,,,,,,,55.0,,,
Advanced,HIIT,,267.0,,,,,,,,88.0,,,
Intermediate,Cardio,,203.0,,,,,,,,50.0,,,
Advanced,Strength,,799.0,,,,,,,,66.0,,,
Advanced,Strength,,714.0,,,,,,,,74.0,,,
Advanced,HIIT,,193.0,,,,,,,,81.0,,,
Advanced,Strength,,202.0,,,,,,,,49.0,,,
Beginner,Yoga,,735.0,,,,,,,,74.0,,,
Beginner,Strength,,707.0,,,,,,,,35.0,,,
Advanced,Strength,,674.0,,,,,,,,31.0,,,
Intermediate,Cardio,,251.0,,,,,,,,36.0,,,
Beginner,Cardio,,547.0,,,,,,,,35.0,,,
Advanced,Strength,,287.0,,,,,,,,31.0,,,
Beginner,HIIT,,536.0,,,,,,,,27.0,,,
Beginner,Cardio,,260.0,,,,,,,,22.0,,,
Intermediate,HIIT,,763.0,,,,,,,,35.0,,,
Advanced,Strength,,166.0,,,,,,,,49.0,,,
Advanced,Strength,,331.0,,,,,,,,42.0,,,
Intermediate,Yoga,,685.0,,,,,,,,24.0,,,
Intermediate,Cardio,,690.0,,,,,,,,84.0,,,
Advanced,Strength,,320.0,,,,,,,,49.0,,,
Advanced,Yoga,,558.0,,,,,,,,40.0,,,
Intermediate,Cardio,,527.0,,,,,,,,89.0,,,
Beginner,Strength,,337.0,,,,,,,,41.0,,,
Beginner,Strength,,379.0,,,,,,,,51.0,,,
Intermediate,Cardio,,268.0,,,,,,,,52.0,,,
Beginner,Cardio,,305.0,,,,,,,,35.0,,,
Intermediate,Cardio,,614.0,,,,,,,,57.0,,,
Beginner,Strength,,253.0,,,,,,,,33.0,,,
Beginner,Strength,,753.0,,,,,,,,55.0,,,
Advanced,Yoga,,651.0,,,,,,,,42.0,,,
Advanced,HIIT,,324.0,,,,,,,,85.0,,,
Beginner,Cardio,,570.0,,,,,,,,21.0,,,
Beginner,Strength,,283.0,,,,,,,,84.0,,,
Advanced,Strength,,540.0,,,,,,,,86.0,,,
Advanced,Cardio,,650.0,,,,,,,,71.0,,,
Advanced,HIIT,,182.0,,,,,,,,81.0,,,
Intermediate,Cardio,,204.0,,,,,,,,42.0,,,
Beginner,HIIT,,668.0,,,,,,,,45.0,,,
Advanced,Strength,,787.0,,,,,,,,87.0,,,
Beginner,HIIT,,161.0,,,,,,,,74.0,,,
Intermediate,Yoga,,677.0,,,,,,,,25.0,,,
Intermediate,Strength,,704.0,,,,,,,,54.0,,,
Advanced,Yoga,,522.0,,,,,,,,41.0,,,
Intermediate,Cardio,,633.0,,,,,,,,62.0,,,
Beginner,Cardio,,796.0,,,,,,,,34.0,,,
Advanced,Cardio,,377.0,,,,,,,,79.0,,,
Beginner,HIIT,,772.0,,,,,,,,31.0,,,
Beginner,Strength,,456.0,,,,,,,,68.0,,,
Intermediate,Cardio,,606.0,,,,,,,,61.0,,,
Intermediate,Cardio,,309.0,,,,,,,,57.0,,,
Intermediate,Strength,,480.0,,,,,,,,64.0,,,
Intermediate,Cardio,,374.0,,,,,,,,54.0,,,
Intermediate,Yoga,,653.0,,,,,,,,49.0,,,
Advanced,Strength,,605.0,,,,,,,,49.0,,,
Beginner,Strength,,194.0,,,,,,,,25.0,,,
Beginner,Strength,,363.0,,,,,,,,86.0,,,
Beginner,Yoga,,208.0,,,,,,,,26.0,,,
Beginner,Strength,,793.0,,,,,,,,71.0,,,
Intermediate,Yoga,,765.0,,,,,,,,33.0,,,
Beginner,Strength,,344.0,,,,,,,,34.0,,,
Advanced,HIIT,,638.0,,,,,,,,40.0,,,
Advanced,Cardio,,306.0,,,,,,,,54.0,,,
Beginner,HIIT,,759.0,,,,,,,,85.0,,,
Beginner,Cardio,,375.0,,,,,,,,21.0,,,
Advanced,Yoga,,561.0,,,,,,,,54.0,,,
Advanced,HIIT,,354.0,,,,,,,,39.0,,,
Intermediate,Strength,,228.0,,,,,,,,29.0,,,
Advanced,Cardio,,273.0,,,,,,,,44.0,,,
Intermediate,Cardio,,620.0,,,,,,,,85.0,,,
Intermediate,HIIT,,367.0,,,,,,,,44.0,,,
Intermediate,Yoga,,665.0,,,,,,,,73.0,,,
Intermediate,HIIT,,751.0,,,,,,,,52.0,,,
Intermediate,Yoga,,253.0,,,,,,,,55.0,,,
Beginner,Yoga,,542.0,,,,,,,,33.0,,,
Advanced,Cardio,,780.0,,,,,,,,84.0,,,
Intermediate,HIIT,,794.0,,,,,,,,73.0,,,
Advanced,HIIT,,757.0,,,,,,,,71.0,,,
Advanced,Yoga,,583.0,,,,,,,,22.0,,,
Intermediate,HIIT,,480.0,,,,,,,,60.0,,,
Beginner,Strength,,292.0,,,,,,,,25.0,,,
Intermediate,Strength,,689.0,,,,,,,,44.0,,,
Beginner,HIIT,,427.0,,,,,,,,32.0,,,
Advanced,HIIT,,382.0,,,,,,,,27.0,,,
Beginner,Yoga,,678.0,,,,,,,,40.0,,,
Beginner,Strength,,720.0,,,,,,,,87.0,,,
Beginner,Strength,,239.0,,,,,,,,44.0,,,
Advanced,Cardio,,641.0,,,,,,,,87.0,,,
Advanced,Yoga,,348.0,,,,,,,,64.0,,,
Beginner,Cardio,,511.0,,,,,,,,79.0,,,
Beginner,Strength,,590.0,,,,,,,,31.0,,,
Intermediate,Yoga,,175.0,,,,,,,,51.0,,,
Beginner,HIIT,,174.0,,,,,,,,32.0,,,
Intermediate,Yoga,,543.0,,,,,,,,50.0,,,
Beginner,HIIT,,656.0,,,,,,,,39.0,,,
Intermediate,HIIT,,450.0,,,,,,,,37.0,,,
Advanced,Yoga,,488.0,,,,,,,,79.0,,,
Beginner,HIIT,,416.0,,,,,,,,82.0,,,
Beginner,Cardio,,610.0,,,,,,,,25.0,,,
Beginner,Strength,,605.0,,,,,,,,51.0,,,
Beginner,HIIT,,509.0,,,,,,,,62.0,,,
Intermediate,Cardio,,217.0,,,,,,,,21.0,,,
Beginner,HIIT,,561.0,,,,,,,,79.0,,,
Advanced,Strength,,640.0,,,,,,,,42.0,,,
Advanced,Cardio,,198.0,,,,,,,,50.0,,,
Beginner,Strength,,713.0,,,,,,,,24.0,,,
Advanced,Strength,,251.0,,,,,,,,53.0,,,
Beginner,Cardio,,365.0,,,,,,,,29.0,,,
Beginner,Cardio,,587.0,,,,,,,,21.0,,,
Advanced,Cardio,,718.0,,,,,,,,30.0,,,
Beginner,Yoga,,708.0,,,,,,,,69.0,,,
Advanced,Cardio,,308.0,,,,,,,,50.0,,,
Intermediate,Cardio,,638.0,,,,,,,,75.0,,,
Beginner,Cardio,,391.0,,,,,,,,28.0,,,
Intermediate,Cardio,,154.0,,,,,,,,40.0,,,
Advanced,HIIT,,745.0,,,,,,,,47.0,,,
Intermediate,Yoga,,510.0,,,,,,,,81.0,,,
Intermediate,Strength,,608.0,,,,,,,,26.0,,,
Advanced,Cardio,,397.0,,,,,,,,35.0,,,
Intermediate,HIIT,,715.0,,,,,,,,23.0,,,
Intermediate,HIIT,,571.0,,,,,,,,23.0,,,
Advanced,HIIT,,164.0,,,,,,,,59.0,,,
Intermediate,Strength,,722.0,,,,,,,,36.0,,,
Advanced,Cardio,,271.0,,,,,,,,71.0,,,
Intermediate,Yoga,,426.0,,,,,,,,71.0,,,
Advanced,Yoga,,707.0,,,,,,,,55.0,,,
Advanced,HIIT,,602.0,,,,,,,,57.0,,,
Intermediate,Strength,,539.0,,,,,,,,69.0,,,
Intermediate,Strength,,443.0,,,,,,,,82.0,,,
Intermediate,Strength,,723.0,,,,,,,,82.0,,,
Beginner,Yoga,,747.0,,,,,,,,81.0,,,
Beginner,HIIT,,595.0,,,,,,,,26.0,,,
Beginner,Cardio,,359.0,,,,,,,,46.0,,,
Advanced,Yoga,,739.0,,,,,,,,33.0,,,
Intermediate,HIIT,,451.0,,,,,,,,24.0,,,
Advanced,HIIT,,372.0,,,,,,,,74.0,,,
Beginner,Cardio,,152.0,,,,,,,,21.0,,,
Intermediate,Cardio,,667.0,,,,,,,,81.0,,,
Advanced,Cardio,,242.0,,,,,,,,40.0,,,
Intermediate,Strength,,669.0,,,,,,,,40.0,,,
Advanced,Cardio,,577.0,,,,,,,,29.0,,,
Intermediate,HIIT,,642.0,,,,,,,,77.0,,,
Beginner,Cardio,,384.0,,,,,,,,58.0,,,
Beginner,HIIT,,769.0,,,,,,,,24.0,,,
Intermediate,Yoga,,310.0,,,,,,,,84.0,,,
Advanced,Strength,,480.0,,,,,,,,32.0,,,
Beginner,Yoga,,482.0,,,,,,,,72.0,,,
Beginner,Yoga,,199.0,,,,,,,,64.0,,,
Beginner,HIIT,,672.0,,,,,,,,51.0,,,
Intermediate,Yoga,,641.0,,,,,,,,55.0,,,
Intermediate,HIIT,,731.0,,,,,,,,79.0,,,
Advanced,Cardio,,421.0,,,,,,,,30.0,,,
Advanced,Cardio,,729.0,,,,,,,,82.0,,,
Advanced,HIIT,,401.0,,,,,,,,40.0,,,
Intermediate,Cardio,,709.0,,,,,,,,71.0,,,
Intermediate,Strength,,239.0,,,,,,,,74.0,,,
Advanced,Yoga,,595.0,,,,,,,,45.0,,,
Advanced,Strength,,481.0,,,,,,,,87.0,,,
Intermediate,Yoga,,288.0,,,,,,,,53.0,,,
Advanced,Cardio,,506.0,,,,,,,,71.0,,,
Beginner,Strength,,750.0,,,,,,,,71.0,,,
Intermediate,Cardio,,423.0,,,,,,,,48.0,,,
Advanced,Yoga,,168.0,,,,,,,,57.0,,,
Intermediate,HIIT,,460.0,,,,,,,,61.0,,,
Beginner,HIIT,,303.0,,,,,,,,40.0,,,
Intermediate,Strength,,539.0,,,,,,,,61.0,,,
Intermediate,Cardio,,409.0,,,,,,,,32.0,,,
Intermediate,Cardio,,769.0,,,,,,,,83.0,,,
Intermediate,Strength,,720.0,,,,,,,,36.0,,,
Beginner,HIIT,,274.0,,,,,,,,28.0,,,
Intermediate,Yoga,,503.0,,,,,,,,60.0,,,
Intermediate,Strength,,422.0,,,,,,,,20.0,,,
Advanced,Yoga,,768.0,,,,,,,,21.0,,,
Intermediate,HIIT,,394.0,,,,,,,,79.0,,,
Advanced,Cardio,,599.0,,,,,,,,67.0,,,
Beginner,HIIT,,396.0,,,,,,,,48.0,,,
Beginner,Strength,,669.0,,,,,,,,29.0,,,
Beginner,Cardio,,290.0,,,,,,,,77.0,,,
Beginner,Strength,,511.0,,,,,,,,79.0,,,
Advanced,Strength,,157.0,,,,,,,,40.0,,,
Intermediate,HIIT,,627.0,,,,,,,,47.0,,,
Beginner,Strength,,501.0,,,,,,,,53.0,,,
Intermediate,HIIT,,644.0,,,,,,,,27.0,,,
Advanced,Cardio,,755.0,,,,,,,,78.0,,,
Advanced,HIIT,,576.0,,,,,,,,68.0,,,
Advanced,Cardio,,188.0,,,,,,,,36.0,,,
Beginner,HIIT,,742.0,,,,,,,,79.0,,,
Intermediate,Yoga,,336.0,,,,,,,,64.0,,,
Intermediate,Yoga,,745.0,,,,,,,,88.0,,,
Intermediate,Strength,,749.0,,,,,,,,51.0,,,
Advanced,HIIT,,242.0,,,,,,,,63.0,,,
Beginner,HIIT,,235.0,,,,,,,,84.0,,,
Advanced,Cardio,,193.0,,,,,,,,27.0,,,
Advanced,Strength,,286.0,,,,,,,,62.0,,,
Intermediate,HIIT,,570.0,,,,,,,,20.0,,,
Advanced,Strength,,223.0,,,,,,,,70.0,,,
Intermediate,Yoga,,697.0,,,,,,,,43.0,,,
Beginner,HIIT,,762.0,,,,,,,,43.0,,,
Intermediate,HIIT,,661.0,,,,,,,,36.0,,,
Beginner,Strength,,305.0,,,,,,,,24.0,,,
Intermediate,HIIT,,404.0,,,,,,,,39.0,,,
Advanced,Strength,,320.0,,,,,,,,40.0,,,
Advanced,HIIT,,319.0,,,,,,,,77.0,,,
Beginner,Cardio,,471.0,,,,,,,,50.0,,,
Beginner,Strength,,716.0,,,,,,,,30.0,,,
Beginner,HIIT,,605.0,,,,,,,,71.0,,,
Intermediate,Yoga,,752.0,,,,,,,,34.0,,,
Intermediate,HIIT,,762.0,,,,,,,,26.0,,,
Beginner,Yoga,,304.0,,,,,,,,47.0,,,
Advanced,Yoga,,498.0,,,,,,,,70.0,,,
Intermediate,Cardio,,600.0,,,,,,,,77.0,,,
Intermediate,Strength,,322.0,,,,,,,,24.0,,,
Intermediate,HIIT,,159.0,,,,,,,,24.0,,,
Beginner,Cardio,,414.0,,,,,,,,27.0,,,
Beginner,HIIT,,587.0,,,,,,,,83.0,,,
Beginner,Yoga,,396.0,,,,,,,,29.0,,,
Beginner,Strength,,695.0,,,,,,,,57.0,,,
Beginner,HIIT,,648.0,,,,,,,,27.0,,,
Advanced,HIIT,,278.0,,,,,,,,44.0,,,
Advanced,Yoga,,750.0,,,,,,,,85.0,,,
Beginner,HIIT,,754.0,,,,,,,,69.0,,,
Intermediate,HIIT,,476.0,,,,,,,,86.0,,,
Beginner,Yoga,,553.0,,,,,,,,68.0,,,
Advanced,Cardio,,778.0,,,,,,,,55.0,,,
Advanced,Yoga,,755.0,,,,,,,,87.0,,,
Intermediate,Cardio,,760.0,,,,,,,,60.0,,,
Advanced,Strength,,774.0,,,,,,,,81.0,,,
Beginner,Cardio,,508.0,,,,,,,,29.0,,,
Intermediate,Cardio,,752.0,,,,,,,,40.0,,,
